domain,country
int-evry.fr,France
intel.com,United States
intellectuk.org,United Kingdom
intelliantech.com,South Korea
intellinet-tech.com,United States
intelsat.com,United States
intercede.com,United Kingdom
interdigital.com,United States
interia.pl,Poland
interop-vlab.eu,European Union
intertek.com,United Kingdom
intesigroup.com,Italy
intracom.gr,Greece
intranet.gr,Greece
ipce.eu.sony.co.jp,Japan
ipsg.mot.com,United States
ipv.sx,Sint Maarten
ipwireless.com,United States
iridium.com,United States
irisa.fr,France
irt.de,Germany
isc-ejpd.admin.ch,Switzerland
iscommunications.co.uk,United Kingdom
isd-nec.co.uk,United Kingdom
iskratel.si,Slovenia
isl.melco.co.jp,Japan
ispras.ru,Russia
isrsm.gov.mk,North Macedonia
issdu.com.tw,Taiwan
iti.es,Spain
itm.mu-luebeck.de,Germany
itri.org.tw,Taiwan
its.bldrdoc.gov,United States
its.se,Sweden
itst.dk,Denmark
iwkoeln.de,Germany
ixiacom.com,United States
jci.com,Ireland
jinny.ie,Ireland
johndeere.com,United States
johnsimmons.tv,Tuvalu
jp.fujitsu.com,Japan
jp.panasonic.com,Japan
juniper.net,United States
kaifeng.com.cn,China
kapsch.net,Austria
kat.bzh,Unknown
kddi-std.jp,Japan
kddi.com,Japan
kddilabs.jp,Japan
kereval.com,France
keryxgroup.com,Poland
keuling.de,Germany
keyinnovations.co.uk,United Kingdom
keysight.com,United States
khgw.info.samsung.co.kr,South Korea
kineto.com,United States
kitsnet.co.uk,United Kingdom
knorr-bremse.com,Germany
kontron.com,Germany
kpn.com,Netherlands
kratosdefense.com,United States
krdl.org.sg,Singapore
kt.co.kr,South Korea
kt.com,South Korea
kticom.com,United Kingdom
ktl.re.kr,South Korea
ktn-uk.org,United Kingdom
kyocera.jp,Japan
kyonggi.ac.kr,South Korea
kyoyu-sha.eu,European Union
laas.fr,France
lab.ntt.co.jp,Japan
labs.att.com,United States
ladid.lu,Luxembourg
landisgyr.com,Switzerland
langbomobile.com,China
lawfulinterception.com,Netherlands
le26.freeserve.co.uk,United Kingdom
leeds.gov.uk,United Kingdom
leetsecurity.com,Spain
legrand.fr,France
lenovo.com,China
lfield.ch,Switzerland
lge.com,South Korea
lgepartner.com,South Korea
lgic.co.kr,South Korea
lglab.eu,European Union
lguplus.co.kr,South Korea
li.bka.de,Germany
libertyglobal.com,United Kingdom
ligado.com,United States
lightsquared.com,United States
linkair.com,China
list.etsi.fr,France
list.onem2m.org,United States
live.com,United States
lmco.com,United States
lmf.ericsson.se,Sweden
lntemsys.com,Germany
lntinfotech.com,India
logica.com,United Kingdom
logicacmg.com,United Kingdom
lsd.lt,Lithuania
lucent.com,United States
lycos.com,United States
mac.com,United States
magenta.at,Austria
magic4.com,Unknown
mail.blu.it,Italy
mail.ertico.com,Belgium
mail.huawei.com,China
mail.ndsc.com.cn,China
mail.peratonlabs.com,United States
mail.student.oulu.fi,Finland
mail.tim.it,Italy
mail.ustc.edu.cn,China
mail.wind.it,Italy
mail.zte.com.cn,China
mailcity.com,United States
man.poznan.pl,Poland
mandint.org,Switzerland
marconi.com,United Kingdom
marconicomms.com,United Kingdom
martel-consulting.ch,Switzerland
martel-innovate.com,Switzerland
materna.de,Germany
matrixx.com,United States
mavenir.com,United States
maveric-systems.com,India
mb.kcom.ne.jp,Japan
mcd.yh.nec.co.jp,Japan
mch.siemens.de,Germany
mchh.siemens.de,Germany
mci.co.uk,United Kingdom
mcil.comm.mot.com,United States
mcs.abk.nec.co.jp,Japan
mcubeworks.com,United States
mdc.nec.fr,France
me.com,United States
meadowcom.com,United Kingdom
media-broadcast.com,Germany
mediatek.com,Taiwan
mef-rd.com,Unknown
mentorite.com,Estonia
mentt.nl,Netherlands
meta.com,United States
mete.mee.com,Unknown
microsoft.com,United States
microwavevision.com,France
miel.mot.com,United States
migasia.com,United States
mikom.com,United States
mindtree.com,India
mirakonta.com,Spain
mirantis.com,United States
mitre.org,United States
mityc.es,Spain
mlab.yrp.nttdocomo.co.jp,Japan
mmce.mee.com,Unknown
mmd.yrp.nttdocomo.co.jp,Japan
mn.ntts.co.jp,Japan
mob.ntc.co.jp,Japan
mobile-mind.com,United States
moez.fraunhofer.de,Germany
mondragon.edu,Spain
mot.com,United States
motorola.com,United States
motorolasolutions.com,United States
msa.org.mt,Malta
msb.se,Sweden
msj.biglobe.ne.jp,Japan
mtb.biglobe.ne.jp,Japan
mtp.es,Spain
murata.com,Japan
